Date : 2021-08-24 09:33:53
Directory : /home/keyhan/Desktop/AsemanWeb
Total : 13637 files,  4093544 codes, 589654 comments, 416939 blanks, all 5100137 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/dnd.ts                                                                                 | TypeScript         |         66 |         23 |         26 |        115 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/dom.ts                                                                                 | TypeScript         |      1,153 |        175 |        249 |      1,577 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/event.ts                                                                               | TypeScript         |         30 |          4 |          9 |         43 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/fastDomNode.ts                                                                         | TypeScript         |        221 |          4 |         32 |        257 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/formattedTextRenderer.ts                                                               | TypeScript         |        184 |          5 |         38 |        227 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/globalMouseMoveMonitor.ts                                                              | TypeScript         |        108 |         12 |         19 |        139 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/hash.ts                                                                                | TypeScript         |         14 |         11 |          8 |         33 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/history.ts                                                                             | TypeScript         |          4 |          4 |          4 |         12 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/iframe.ts                                                                              | TypeScript         |         83 |         26 |         19 |        128 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/keyboardEvent.ts                                                                       | TypeScript         |        275 |         15 |         47 |        337 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/markdownRenderer.ts                                                                    | TypeScript         |        321 |         43 |         35 |        399 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/mouseEvent.ts                                                                          | TypeScript         |        171 |         16 |         38 |        225 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/touch.ts                                                                               | TypeScript         |        283 |         12 |         69 |        364 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/actionbar/actionViewItems.ts                                                        | TypeScript         |        329 |         21 |         88 |        438 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/actionbar/actionbar.css                                                             | CSS                |         77 |          6 |         18 |        101 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/actionbar/actionbar.ts                                                              | TypeScript         |        463 |         21 |        107 |        591 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/aria/aria.css                                                                       | CSS                |          4 |          4 |          1 |          9 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/aria/aria.ts                                                                        | TypeScript         |         72 |         13 |         11 |         96 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/breadcrumbs/breadcrumbsWidget.css                                                   | CSS                |         29 |          4 |          5 |         38 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/breadcrumbs/breadcrumbsWidget.ts                                                    | TypeScript         |        300 |          7 |         41 |        348 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/button/button.css                                                                   | CSS                |         40 |          4 |         11 |         55 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/button/button.ts                                                                    | TypeScript         |        453 |          7 |        109 |        569 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/centered/centeredViewLayout.ts                                                      | TypeScript         |        153 |          5 |         26 |        184 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/checkbox/checkbox.css                                                               | CSS                |         39 |          5 |          7 |         51 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/checkbox/checkbox.ts                                                                | TypeScript         |        211 |          4 |         56 |        271 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/codicons/codicon/codicon-modifiers.css                                              | CSS                |         22 |          6 |          6 |         34 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/codicons/codicon/codicon.css                                                        | CSS                |         16 |          5 |          4 |         25 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/codicons/codiconStyles.ts                                                           | TypeScript         |         10 |          4 |          4 |         18 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/contextview/contextview.css                                                         | CSS                |         12 |          4 |          3 |         19 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/contextview/contextview.ts                                                          | TypeScript         |        305 |         20 |         81 |        406 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/countBadge/countBadge.css                                                           | CSS                |         18 |          4 |          3 |         25 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/countBadge/countBadge.ts                                                            | TypeScript         |         76 |          4 |         22 |        102 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/dialog/dialog.css                                                                   | CSS                |        119 |         15 |         21 |        155 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/dialog/dialog.ts                                                                    | TypeScript         |        388 |         15 |         85 |        488 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/dropdown/dropdown.css                                                               | CSS                |         29 |          4 |          7 |         40 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/dropdown/dropdown.ts                                                                | TypeScript         |        218 |          4 |         59 |        281 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/dropdown/dropdownActionViewItem.ts                                                  | TypeScript         |        177 |          5 |         39 |        221 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/dropdown/dropdownWithPrimaryActionViewItem.ts                                       | TypeScript         |         92 |          4 |         11 |        107 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/findinput/findInput.css                                                             | CSS                |         48 |          9 |          8 |         65 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/findinput/findInput.ts                                                              | TypeScript         |        355 |          5 |         67 |        427 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/findinput/findInputCheckboxes.ts                                                    | TypeScript         |         50 |          4 |          7 |         61 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/findinput/replaceInput.ts                                                           | TypeScript         |        322 |          6 |         61 |        389 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/grid/grid.ts                                                                        | TypeScript         |        490 |         14 |        136 |        640 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/grid/gridview.css                                                                   | CSS                |         10 |          4 |          2 |         16 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/grid/gridview.ts                                                                    | TypeScript         |      1,000 |         15 |        295 |      1,310 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/highlightedlabel/highlightedLabel.ts                                                | TypeScript         |         91 |          5 |         21 |        117 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/hover/hover.css                                                                     | CSS                |        110 |          7 |         24 |        141 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/hover/hoverWidget.ts                                                                | TypeScript         |         45 |          4 |         12 |         61 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/iconLabel/iconHoverDelegate.ts                                                      | TypeScript         |         16 |          4 |          5 |         25 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/iconLabel/iconLabel.ts                                                              | TypeScript         |        333 |          6 |         73 |        412 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/iconLabel/iconLabels.ts                                                             | TypeScript         |         24 |          4 |          7 |         35 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/iconLabel/iconlabel.css                                                             | CSS                |         76 |          9 |         20 |        105 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/iconLabel/simpleIconLabel.ts                                                        | TypeScript         |         13 |          4 |          6 |         23 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/inputbox/inputBox.css                                                               | CSS                |         85 |          8 |         19 |        112 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/inputbox/inputBox.ts                                                                | TypeScript         |        554 |          9 |        139 |        702 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/keybindingLabel/keybindingLabel.css                                                 | CSS                |         27 |          4 |          7 |         38 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/keybindingLabel/keybindingLabel.ts                                                  | TypeScript         |        156 |          4 |         33 |        193 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/list/list.css                                                                       | CSS                |        131 |          9 |         26 |        166 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/ui/list/list.ts                                                                        | TypeScript         |         95 |          9 |         25 |        129 |
